system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.572381,0.471429,0.515201,0.365016,0.554545,0.438431
Team Sports Scouting (TSS) ,test average,0.552259,0.36875,0.439572,0.106354,0.108333,0.105933
Smart home automation system (SHAS) ,test average,0.719091,0.330435,0.45192,0.119814,0.138462,0.127896
Tile-O ,test average,0.48127,0.210526,0.291525,0.045611,0.08125,0.058022
Block 223 ,test average,0.576847,0.376923,0.452637,0.178448,0.173333,0.174795
Online Tutoring System (OTS) ,test average,0.794517,0.352941,0.484849,0.125341,0.119231,0.120782
Hotel Booking Management System (HBMS) ,test average,0.795595,0.3,0.433324,0.2742,0.230303,0.248537
H2S ,test average,0.258749,0.2,0.223851,0.070043,0.117647,0.087664
Celebrations Organization System (CelO) ,test average,0.705714,0.430769,0.532919,0.110959,0.173913,0.134905
Lab Requisition Management System ,test average,0.902323,0.55,0.681766,0.347304,0.337209,0.341829
