name,presicion,recall,F1
TSS,0.23716172150807124,0.11904761904761903,0.14881897672220248
CeIO,0.2623975285120796,0.23684210526315788,0.24763163440795016
BTMS,0.6864285714285715,0.5222222222222221,0.5770544007076515
H2S,0.26555555555555554,0.07777777777777778,0.116588765501809
Lab Requisition Management System,0.08896235941777413,0.08636363636363636,0.08689058793760006
Hotel Booking Management System (HBMS),0.1847768903465641,0.29333333333333333,0.2226197922602021
SHAS,0.5721367521367521,0.24074074074074076,0.3338044611215342
OTS,0.26301777170198226,0.195,0.2212577403210069
DBA,0.24451924318931995,0.2894736842105263,0.26400837810169725
TiOA,0.3098611269690591,0.265,0.265935876665858
