system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
BTMS ,test average,0.586667,0.485714,0.530769,0.419214,0.600000,0.491374
Team Sports Scouting (TSS) ,test average,0.580831,0.368750,0.449053,0.158914,0.150000,0.153273
Smart home automation system (SHAS) ,test average,0.663203,0.330435,0.439691,0.139153,0.169231,0.151478
Tile-O ,test average,0.576865,0.268421,0.365626,0.112620,0.200000,0.143525
Block 223 ,test average,0.588084,0.415385,0.479029,0.166683,0.156667,0.159350
Online Tutoring System (OTS) ,test average,0.787103,0.370588,0.499386,0.161672,0.161538,0.159993
Hotel Booking Management System (HBMS) ,test average,0.680873,0.336842,0.447481,0.260886,0.278788,0.266614
H2S ,test average,0.292836,0.253846,0.270508,0.070167,0.111765,0.085772
Celebrations Organization System (CelO) ,test average,0.713690,0.407692,0.517544,0.117581,0.165217,0.136762
Lab Requisition Management System ,test average,0.902132,0.562500,0.687996,0.325017,0.318605,0.321065
