name,presicion,recall,F1
TSS,0.26273670773670776,0.14705882352941177,0.18674805271356998
CeIO,0.3296013545278251,0.2588235294117647,0.2854647217871879
BTMS,0.7666522366522367,0.6333333333333333,0.6719242015294646
H2S,0.2772222222222222,0.1,0.1353668139192436
Lab Requisition Management System,0.09655173329086372,0.06,0.07307216285216427
Hotel Booking Management System (HBMS),0.09594711423500485,0.22727272727272724,0.13007279945104222
SHAS,0.6094075442101757,0.29583333333333334,0.3906502282261848
OTS,0.47357323232323223,0.325,0.3783979800392844
DBA,0.4265688850791153,0.41578947368421054,0.4113971649265767
TiOA,0.33506305113773555,0.425,0.33286362449009144
