system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
TSS ,test average,0.495653,0.331250,0.394521,0.091709,0.108333,0.097657
CeIO ,test average,0.681468,0.384615,0.487734,0.119942,0.169565,0.139641
BTMS ,test average,0.468333,0.342857,0.394289,0.325931,0.463636,0.379017
H2S ,test average,0.263309,0.215385,0.234035,0.047767,0.072222,0.056146
Lab Requisition Management System ,test average,0.916389,0.531250,0.671462,0.318855,0.306977,0.312520
Hotel Booking Management System (HBMS) ,test average,0.754725,0.268421,0.389186,0.249090,0.206061,0.219938
SHAS ,test average,0.625484,0.300000,0.402845,0.122115,0.146154,0.132405
OTS ,test average,0.619167,0.325000,0.417915,0.095591,0.100000,0.092900
DBA ,test average,0.742226,0.400000,0.512501,0.173358,0.156667,0.163842
TiOA ,test average,0.332024,0.131579,0.187339,0.099744,0.162500,0.123025
