system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS,test average,0.435238,0.342857,0.382418,0.383091,0.563636,0.454211
Team Sports Scouting (TSS),test average,0.550833,0.325,0.407271,0.124912,0.116667,0.120182
Smart home automation system (SHAS),test average,0.722879,0.334783,0.457291,0.156392,0.173077,0.163783
Tile-O,test average,0.58631,0.252632,0.352727,0.064676,0.1125,0.081936
Block 223,test average,0.667262,0.323077,0.434461,0.202415,0.166667,0.181446
Online Tutoring System (OTS),test average,0.783413,0.352941,0.482767,0.146388,0.134615,0.139424
Hotel Booking Management System (HBMS),test average,0.673773,0.268421,0.376177,0.244105,0.218182,0.228153
H2S,test average,0.244618,0.246154,0.243263,0.042216,0.088235,0.056709
Celebrations Organization System (CelO),test average,0.71369,0.438462,0.542424,0.112434,0.182609,0.138893
Lab Requisition Management System,test average,0.897298,0.4875,0.629072,0.35522,0.323256,0.33751
