name,presicion,recall,F1
TSS,0.19278822055137845,0.13529411764705884,0.15570105571106685
CeIO,0.28929887106357693,0.2529411764705883,0.2673504459254966
BTMS,0.7086111111111111,0.5444444444444445,0.6008309990662932
H2S,0.3532683982683983,0.16923076923076918,0.2183245838381119
Lab Requisition Management System,0.1468925518925519,0.07999999999999999,0.1026669610721335
Hotel Booking Management System (HBMS),0.12811665540301223,0.2545454545454545,0.1674891174246624
SHAS,0.5570743145743146,0.30416666666666664,0.3882320328450358
OTS,0.3430185133960877,0.3,0.3054360450993311
DBA,0.4726864230540702,0.3368421052631579,0.38821384409619697
TiOA,0.2912091242091242,0.425,0.26406684892168764
