name,presicion,recall,F1
TSS,0.3285705797470503,0.1411764705882353,0.19107640725287786
CeIO,0.28439019314019315,0.24117647058823533,0.258949475772554
BTMS,0.5304365079365079,0.44444444444444436,0.46567423460612306
H2S,0.28214285714285714,0.10769230769230768,0.1538759889920881
Lab Requisition Management System,0.09211344211344212,0.05500000000000001,0.06854436627517829
Hotel Booking Management System (HBMS),0.17501511570174064,0.3181818181818181,0.22047715528827583
SHAS,0.6431734006734007,0.3416666666666667,0.43215521406697877
OTS,0.400485347985348,0.2875,0.32652942210213576
DBA,0.36331501831501833,0.28421052631578947,0.3106089486562622
TiOA,0.2805341858283035,0.36666666666666664,0.30113594670244914
