system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
TSS ,test average,0.561843,0.381250,0.451100,0.091130,0.100000,0.094805
CeIO ,test average,0.696865,0.392308,0.499206,0.119477,0.173913,0.141024
BTMS ,test average,0.343651,0.285714,0.308433,0.254494,0.381818,0.301296
H2S ,test average,0.282614,0.223077,0.246156,0.041985,0.066667,0.050916
Lab Requisition Management System ,test average,0.866746,0.518750,0.643463,0.305315,0.295349,0.299441
Hotel Booking Management System (HBMS) ,test average,0.699055,0.252632,0.362644,0.219895,0.200000,0.206399
SHAS ,test average,0.726818,0.326087,0.449326,0.119678,0.126923,0.122662
OTS ,test average,0.648431,0.368750,0.467332,0.086169,0.096000,0.089402
DBA ,test average,0.719913,0.406667,0.508295,0.152930,0.143333,0.146381
TiOA ,test average,0.347024,0.136842,0.195617,0.112972,0.175000,0.135778
