system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
BTMS,test_final_average_score,0.400079,0.342857,0.363749,0.302462,0.472727,0.362555
Team Sports Scouting (TSS),test_final_average_score,0.575554,0.406250,0.473686,0.091130,0.100000,0.094805
Smart home automation system (SHAS),test_final_average_score,0.719332,0.343478,0.463847,0.137696,0.150000,0.142920
Tile-O,test_final_average_score,0.595635,0.257895,0.359585,0.140387,0.237500,0.176172
Block 223,test_final_average_score,0.562388,0.415385,0.468460,0.173599,0.166667,0.168328
Online Tutoring System (OTS),test_final_average_score,0.777969,0.441176,0.559613,0.173665,0.184615,0.176432
Hotel Booking Management System (HBMS),test_final_average_score,0.724199,0.289474,0.405201,0.241311,0.224242,0.229770
H2S,test_final_average_score,0.285460,0.238462,0.257236,0.063314,0.105882,0.078139
Celebrations Organization System (CelO),test_final_average_score,0.691865,0.407692,0.511905,0.119477,0.173913,0.141024
Lab Requisition Management System,test_final_average_score,0.870787,0.531250,0.654129,0.306803,0.302326,0.303741
