system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
BTMS ,test average,0.491786,0.371429,0.418831,0.366490,0.327273,0.339249
Team Sports Scouting (TSS) ,test average,0.547421,0.268750,0.359522,0.061507,0.066667,0.062637
Smart home automation system (SHAS) ,test average,0.687626,0.291304,0.405589,0.174136,0.111538,0.134660
Tile-O ,test average,0.589524,0.210526,0.306533,0.009091,0.012500,0.010526
Block 223 ,test average,0.730000,0.415385,0.524280,0.225375,0.113333,0.149177
Online Tutoring System (OTS) ,test average,0.792532,0.382353,0.510367,0.185835,0.153846,0.163682
Hotel Booking Management System (HBMS) ,test average,0.817857,0.263158,0.395446,0.187336,0.172727,0.176717
H2S ,test average,0.284405,0.169231,0.210785,0.068142,0.070588,0.066481
Celebrations Organization System (CelO) ,test average,0.826667,0.330769,0.466228,0.104156,0.091304,0.096247
Lab Requisition Management System ,test average,0.960000,0.343750,0.503821,0.370937,0.188372,0.248459
