AI_answer_after_cut:
+ PickupAndDeliveryService extends HelpingHandStore
+ PickupVehicle extends HelpingHandStore
+ VolunteerDriver extends HelpingHandStore
+ DistributionCenter extends HelpingHandStore
+ Employee extends HelpingHandStore
+ RFIDDevice extends HelpingHandStore
+ FoodBank extends HelpingHandStore
+ Resident extends HelpingHandStore

#
generated_inheritances_count,8
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupService extends HelpingHandStore
+ PickupVehicle extends HelpingHandStore
+ VolunteerDriver extends HelpingHandStore
+ PickupRoute extends HelpingHandStore
+ SecondHandArticle extends HelpingHandStore
+ NonPerishableFood extends HelpingHandStore
+ DistributionCenter extends HelpingHandStore
+ H2SEmployee extends HelpingHandStore
+ RFIDTag extends HelpingHandStore

#
generated_inheritances_count,9
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ Category extends HelpingHandStore
+ Resident extends HelpingHandStore
+ PickupService extends HelpingHandStore
+ PickupVehicle extends HelpingHandStore
+ VolunteerDriver extends HelpingHandStore
+ PickupRoute extends HelpingHandStore
+ SecondHandArticle extends HelpingHandStore
+ NonPerishableFood extends HelpingHandStore
+ DistributionCenter extends HelpingHandStore
+ Employee extends HelpingHandStore
+ RFIDDevice extends HelpingHandStore
+ FoodBank extends HelpingHandStore

#
generated_inheritances_count,12
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupRequest extends Resident
+ PickupVehicle extends Vehicle
+ VolunteerDriver extends Person
+ DistributionCenter extends Location
+ RFIDDevice extends Device
+ H2SEmployee extends Employee
+ Client extends Person

#
generated_inheritances_count,1
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupVehicle() extends HelpingHandStore()
+ VolunteerDriver() extends HelpingHandStore()
+ H2SEmployee() extends HelpingHandStore()
+ SecondHandArticle() extends HelpingHandStore()
+ NonPerishableFood() extends HelpingHandStore()
+ DistributionCenter() extends HelpingHandStore()
+ Resident() extends HelpingHandStore()
+ PickupRequest() extends HelpingHandStore()
+ Category() extends HelpingHandStore()
+ PickupTimeRange() extends HelpingHandStore()

#
generated_inheritances_count,10
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupService extends HelpingHandStore
+ PickupVehicle extends HelpingHandStore
+ VolunteerDriver extends HelpingHandStore
+ PickupRoute extends HelpingHandStore
+ Resident extends HelpingHandStore
+ Item extends HelpingHandStore
+ FoodItem extends HelpingHandStore
+ SecondHandArticle extends HelpingHandStore
+ RFIDTag extends HelpingHandStore
+ DistributionCenter extends HelpingHandStore
+ FoodBank extends HelpingHandStore

# 
generated_inheritances_count,11
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ Resident extends Client
+ Vehicle extends Pickup
+ Driver extends Vehicle
+ Route extends Vehicle
+ DistributionCenter extends Vehicle
+ Article extends Item
+ Client extends Resident

#
generated_inheritances_count,7
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ PickupService() extends Vehicle()
+ VolunteerDriver() extends Vehicle()
+ SecondHandArticle() extends PickupService()
+ FoodBank() extends DistributionCenter()

#
generated_inheritances_count,4
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ Resident() extends Client()
+ PickupService() extends DistributionCenter()
+ Vehicle() extends DistributionCenter()
+ VolunteerDriver() extends Client()
+ SecondHandArticle() extends ArticleDelivery()
+ FoodBank() extends DistributionCenter()
+ H2SEmployee() extends Client()
+ Client() extends DistributionCenter()
+ DistributionCenter() extends ArticleDelivery()
generated_inheritances_count,9
matched_inheritances_count,0
oracle_inheritances_count,5
AI_answer_after_cut:
+ Client() extends Resident()
+ PickupRequest() extends Resident()
+ Vehicle() extends VolunteerDriver()

#
generated_inheritances_count,3
matched_inheritances_count,0
oracle_inheritances_count,5
