system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.445476,0.371429,0.40304,0.345844,0.527273,0.415529
Team Sports Scouting (TSS) ,test average,0.622898,0.45,0.520645,0.175616,0.175,0.17319
Smart home automation system (SHAS) ,test average,0.708182,0.317391,0.438146,0.128522,0.138462,0.133185
Tile-O ,test average,0.546032,0.236842,0.329802,0.07894,0.13125,0.0984
Block 223 ,test average,0.682641,0.353846,0.459776,0.212442,0.173333,0.189512
Online Tutoring System (OTS) ,test average,0.797929,0.382353,0.512134,0.140941,0.146154,0.141629
Hotel Booking Management System (HBMS) ,test average,0.805184,0.331579,0.461317,0.3142,0.260606,0.281622
H2S ,test average,0.268397,0.238462,0.249773,0.047554,0.088235,0.060485
Celebrations Organization System (CelO) ,test average,0.67619,0.430769,0.525108,0.104612,0.173913,0.13043
Lab Requisition Management System ,test average,0.908929,0.4625,0.611604,0.354349,0.313953,0.33242
