name,presicion,recall,F1
TSS,0.446080586080586,0.1823529411764706,0.24726501709811669
CeIO,0.3233089133089133,0.22941176470588237,0.26410700941624193
BTMS,0.6347619047619046,0.5,0.5506439174860227
H2S,0.35317460317460314,0.13846153846153847,0.18814050872874405
Lab Requisition Management System,0.10002811730752906,0.08,0.08817507256314246
Hotel Booking Management System (HBMS),0.18416613357402828,0.29999999999999993,0.22287810468455632
SHAS,0.6195146081988187,0.2833333333333334,0.3767127539661711
OTS,0.3432814769771292,0.30625,0.31729360846379756
DBA,0.47923905042326104,0.38421052631578945,0.42208652461659524
TiOA,0.46619867813346083,0.39166666666666666,0.4052066447855921
