name,presicion,recall,F1
TSS,0.18777544351073763,0.15882352941176472,0.16944621490884837
CeIO,0.25306171125056576,0.22941176470588234,0.23763274819909816
BTMS,0.5707142857142856,0.3555555555555555,0.4223742047426258
H2S,0.33069597069597073,0.16153846153846155,0.207828641946289
Lab Requisition Management System,0.09063851181498242,0.06999999999999999,0.07865412918044498
Hotel Booking Management System (HBMS),0.1461282232481219,0.3,0.18942897624990046
SHAS,0.5870819632200707,0.37083333333333335,0.44737027449933986
OTS,0.3660312971342383,0.325,0.3402716894710777
DBA,0.4337201068625217,0.3368421052631579,0.3755543111160809
TiOA,0.21697729460036613,0.4416666666666667,0.25245081628841354
