system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.42381,0.357143,0.38663,0.344221,0.509091,0.409073
Team Sports Scouting (TSS) ,test average,0.550729,0.35625,0.429536,0.128111,0.116667,0.121437
Smart home automation system (SHAS) ,test average,0.694545,0.313043,0.431373,0.135893,0.161538,0.147406
Tile-O ,test average,0.541667,0.257895,0.347013,0.124192,0.24375,0.164093
Block 223 ,test average,0.634866,0.4,0.48238,0.172102,0.16,0.164783
Online Tutoring System (OTS) ,test average,0.741638,0.388235,0.505906,0.179432,0.161538,0.16563
Hotel Booking Management System (HBMS) ,test average,0.800467,0.289474,0.417968,0.297197,0.251515,0.268408
H2S ,test average,0.231277,0.223077,0.224449,0.058325,0.111765,0.07537
Celebrations Organization System (CelO) ,test average,0.704167,0.453846,0.551515,0.10483,0.178261,0.131895
Lab Requisition Management System ,test average,0.881508,0.5125,0.642864,0.326155,0.316279,0.320338
