name,presicion,recall,F1
TSS,0.3118727106227106,0.17647058823529413,0.22092628479604345
CeIO,0.30186341522254834,0.27647058823529413,0.2840702098785556
BTMS,0.6312121212121211,0.42222222222222233,0.47578970049558283
H2S,0.2752450980392157,0.15384615384615385,0.1808525592055004
Lab Requisition Management System,0.08381313131313131,0.06999999999999999,0.07561612364243944
Hotel Booking Management System (HBMS),0.20277949794066313,0.36363636363636365,0.24673183722286018
SHAS,0.5293060044530633,0.33333333333333337,0.4002611953435974
OTS,0.38229912244618125,0.325,0.34339104955908395
DBA,0.4022226466344113,0.3421052631578947,0.3641919168884967
TiOA,0.3719360902255639,0.4333333333333333,0.35371163800955074
