system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.39746,0.328571,0.355296,0.35461,0.509091,0.415751
Team Sports Scouting (TSS) ,test average,0.59298,0.3875,0.466773,0.164867,0.125,0.141387
Smart home automation system (SHAS) ,test average,0.772727,0.33913,0.471301,0.150074,0.165385,0.157297
Tile-O ,test average,0.511086,0.242105,0.327889,0.104975,0.2,0.137603
Block 223 ,test average,0.66,0.338462,0.443561,0.187884,0.153333,0.168165
Online Tutoring System (OTS) ,test average,0.780173,0.370588,0.497618,0.122481,0.146154,0.132303
Hotel Booking Management System (HBMS) ,test average,0.661676,0.289474,0.393372,0.258625,0.248485,0.251623
H2S ,test average,0.197314,0.2,0.19816,0.037678,0.088235,0.052735
Celebrations Organization System (CelO) ,test average,0.679762,0.453846,0.543506,0.100588,0.173913,0.126906
Lab Requisition Management System ,test average,0.924318,0.54375,0.682533,0.385276,0.374419,0.379008
