system,10 times,Ave_Test_Class_precision,"	Ave_class_recall","	Ave_class_f1","	Ave_attribute_precision","	Ave_attribute_recall","	Ave_attribute_f1"
BTMS,final_average_score,0.497143,0.371429,0.422994,0.420635,0.572727,0.481002
Team Sports Scouting (TSS),final_average_score,0.5777,0.4,0.470629,0.116292,0.125,0.117911
Smart home automation system (SHAS),final_average_score,0.592757,0.3,0.397429,0.161313,0.184615,0.171652
Tile-O,final_average_score,0.504108,0.231579,0.314718,0.10629,0.1875,0.135097
Block 223,final_average_score,0.62526,0.384615,0.470149,0.19095,0.173333,0.180436
Online Tutoring System (OTS),final_average_score,0.747493,0.352941,0.476456,0.144773,0.138462,0.139826
Hotel Booking Management System (HBMS),final_average_score,0.739286,0.284211,0.409047,0.284228,0.257576,0.267244
H2S,final_average_score,0.265614,0.223077,0.240559,0.073074,0.117647,0.088435
Celebrations Organization System (CelO),final_average_score,0.739524,0.407692,0.522298,0.121408,0.169565,0.140313
Lab Requisition Management System,final_average_score,0.946818,0.55625,0.695917,0.325683,0.316279,0.319934
