name,presicion,recall,F1
TSS,0.2018715434891906,0.12941176470588237,0.15477294489059196
CeIO,0.3023435143288084,0.23529411764705882,0.26267421538114466
BTMS,0.6144047619047618,0.4999999999999999,0.5450490196078431
H2S,0.274047619047619,0.12307692307692308,0.16177502579979358
Lab Requisition Management System,0.06781401776757814,0.05,0.057041417243030156
Hotel Booking Management System (HBMS),0.1766307599063017,0.3454545454545455,0.22830280830280825
SHAS,0.5722990073222272,0.3125,0.3976955034624093
OTS,0.32223856209150326,0.26875,0.283634932842094
DBA,0.43478021978021975,0.32631578947368417,0.3680797266958361
TiOA,0.4535291196217969,0.4,0.3924537577118222
