system,10 times,Ave_Test_Class_precision,"	Ave_class_recall","	Ave_class_f1","	Ave_attribute_precision","	Ave_attribute_recall","	Ave_attribute_f1"
BTMS ,test average,0.4925,0.414286,0.447436,0.373656,0.572727,0.45063
Team Sports Scouting (TSS) ,test average,0.595025,0.4,0.475749,0.143479,0.141667,0.141209
Smart home automation system (SHAS) ,test average,0.681538,0.334783,0.44461,0.152362,0.173077,0.160783
Tile-O ,test average,0.587698,0.247368,0.347965,0.08814,0.1625,0.113974
Block 223 ,test average,0.553773,0.415385,0.469064,0.157305,0.156667,0.154621
Online Tutoring System (OTS) ,test average,0.817536,0.382353,0.516516,0.17986,0.157692,0.166398
Hotel Booking Management System (HBMS) ,test average,0.795476,0.336842,0.469839,0.297321,0.278788,0.284692
H2S ,test average,0.182571,0.161538,0.170998,0.032501,0.058824,0.041672
Celebrations Organization System (CelO) ,test average,0.702579,0.430769,0.533333,0.133584,0.173913,0.148025
Lab Requisition Management System ,test average,0.959596,0.49375,0.649275,0.34464,0.309302,0.325583
ave,test average,0.6368292,0.3617074,0.4524785,0.1902848,0.2185157,0.1987587
