system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.449524,0.371429,0.405678,0.357539,0.527273,0.424021
Team Sports Scouting (TSS) ,test average,0.6112,0.4125,0.491191,0.137971,0.133333,0.134987
Smart home automation system (SHAS) ,test average,0.72021,0.326087,0.448336,0.14189,0.153846,0.146733
Tile-O ,test average,0.535913,0.231579,0.322517,0.116754,0.20625,0.148314
Block 223 ,test average,0.635,0.392308,0.474389,0.190528,0.16,0.172064
Online Tutoring System (OTS) ,test average,0.735794,0.376471,0.493854,0.141383,0.153846,0.1456
Hotel Booking Management System (HBMS) ,test average,0.741548,0.310526,0.433512,0.292006,0.242424,0.263316
H2S ,test average,0.231981,0.2,0.213534,0.045407,0.076471,0.056381
Celebrations Organization System (CelO) ,test average,0.711905,0.415385,0.523377,0.107876,0.169565,0.13163
Lab Requisition Management System ,test average,0.957298,0.5375,0.686561,0.369839,0.360465,0.363988
ave,,0.6330373,0.3573785,0.4492949,0.1901193,0.2183473,0.1987034
