system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.521667,0.4,0.45021,0.465972,0.627273,0.5331
Team Sports Scouting (TSS) ,test average,0.625997,0.46875,0.535148,0.150462,0.158333,0.153588
Smart home automation system (SHAS) ,test average,0.739913,0.352174,0.476061,0.133381,0.165385,0.146591
Tile-O ,test average,0.555198,0.242105,0.336471,0.094063,0.1625,0.118911
Block 223 ,test average,0.584509,0.4,0.463608,0.187992,0.166667,0.176192
Online Tutoring System (OTS) ,test average,0.776627,0.370588,0.500285,0.154134,0.138462,0.14473
Hotel Booking Management System (HBMS) ,test average,0.734149,0.289474,0.409252,0.278084,0.242424,0.257479
H2S ,test average,0.234769,0.2,0.21348,0.037221,0.070588,0.047785
Celebrations Organization System (CelO) ,test average,0.700595,0.446154,0.544372,0.104099,0.173913,0.130098
Lab Requisition Management System ,test average,0.923846,0.50625,0.650343,0.34989,0.316279,0.331272
