name,presicion,recall,F1
TSS,0.20667331034978093,0.15882352941176472,0.17264355794831063
CeIO,0.3035248330101271,0.24705882352941178,0.26790127925998536
BTMS,0.7044733044733044,0.5777777777777778,0.6115768588137008
H2S,0.37357142857142855,0.14615384615384613,0.2053652625324452
Lab Requisition Management System,0.1601176601176601,0.11000000000000001,0.1282124253457877
Hotel Booking Management System (HBMS),0.10517232857681372,0.30909090909090914,0.14941450979329313
SHAS,0.5575974025974026,0.3208333333333334,0.4005075591762898
OTS,0.3916712454212455,0.3375,0.359898101064675
DBA,0.362434754787696,0.36315789473684207,0.35808283316709205
TiOA,0.2760145965145965,0.4416666666666667,0.2861930180741725
