name,presicion,recall,F1
TSS,0.31595373151100703,0.19411764705882356,0.22831433722914452
CeIO,0.28533519112466477,0.24117647058823527,0.2600228428412522
BTMS,0.6781349206349206,0.5444444444444445,0.5935127316783663
H2S,0.3194588744588745,0.16923076923076924,0.2041478696741854
Lab Requisition Management System,0.10998249226880266,0.09,0.09736422660061343
Hotel Booking Management System (HBMS),0.1398221357495551,0.2818181818181818,0.18298311277034682
SHAS,0.5107294497617078,0.29166666666666663,0.3598377667108317
OTS,0.31062545297839417,0.2875,0.29579710508520296
DBA,0.44055306444053244,0.37894736842105264,0.3985430325085498
TiOA,0.34296751760962374,0.45,0.3395060524895218
