name,presicion,recall,F1
TSS,0.3834193438140806,0.18823529411764708,0.24157070707070707
CeIO,0.34673068540917507,0.2705882352941177,0.2935700225721887
BTMS,0.65625,0.4444444444444445,0.4986984779925957
H2S,0.1863095238095238,0.09230769230769231,0.11709524248570904
Lab Requisition Management System,0.1336946386946387,0.08000000000000002,0.09991080156402737
Hotel Booking Management System (HBMS),0.1374838414976388,0.2909090909090909,0.1819174021809982
SHAS,0.6100604510578934,0.3208333333333333,0.41320596738955057
OTS,0.3550326797385621,0.29375,0.307502775861909
DBA,0.4627448880080676,0.41052631578947363,0.4237086112500047
TiOA,0.2970970575318402,0.3416666666666667,0.29142273576097105
