---------------------1/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Connection
+ 1 Game associate 1 Player
+ 1 Game associate 0..* ActionTile
+ 1 Game associate 0..* NormalTile
+ 1 Game associate 0..* Tile
+ 1 Deck associate 0..* ActionCard
+ 1 Connection associate 0..* Tile
+ 1 Player associate 1 Color


+ 1 Game contain 1 Board
+ 1 Board contain 0..* Tile
+ 1 Board contain 0..* ConnectionPiece
+ 1 Board contain 1 WinTile
+ 1 Board contain 0..* ActionTile
+ 1 Board contain 0..* NormalTile
+ 1 Deck contain 0..* ActionCard


+ Tile extends abstract Tile
+ ActionCard extends abstract ActionCard
+ RollDieActionCard extends ActionCard
+ ConnectTilesActionCard extends ActionCard
+ RemoveConnectionActionCard extends ActionCard
+ TeleportActionCard extends ActionCard
+ LoseTurnActionCard extends ActionCard
+ WinTile extends Tile
+ ActionTile extends Tile
+ NormalTile extends Tile
+ Player extends Color
result_presicion = 0.5
result_recall = 0.25
result_F1 = 0.3333333333333333
---------------------2/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Connection
+ 1 Game associate 1 Color
+ 1 Game associate 1 TileO
+ 1 Game associate 1 Player
+ 1 TileO associate 1 Game
+ 1 TileO associate 0..* Tile
+ 1 TileO associate 0..* ActionTile
+ 1 TileO associate 0..* NormalTile
+ 1 TileO associate 0..* WinTile
+ 1 TileO associate 0..* Player
+ 1 Tile associate 0..* Tile
+ 1 Tile associate 0..* Connection
+ 1 Tile associate 1 Color
+ 1 Connection associate 1 Tile
+ 1 Connection associate 1 Tile
+ 1 Deck associate 0..* ActionCard
+ 1 Deck associate 0..* RollDieActionCard
+ 1 Deck associate 0..* ConnectTilesActionCard
+ 1 Deck associate 0..* RemoveConnectionActionCard
+ 1 Deck associate 0..* TeleportActionCard
+ 1 Deck associate 0..* LoseTurnActionCard
+ 1 Player associate 1 Color
+ 1 Player associate 1 Tile


+ 1 Game contain 1 Deck
+ 1 Game contain 1 Die
+ 1 Game contain 1 WinTile
+ 1 Game contain 1 Connection
+ 1 Game contain 1 Color
+ 1 TileO contain 0..* Tile
+ 1 TileO contain 0..* ActionTile
+ 1 TileO contain 0..* NormalTile
+ 1 TileO contain 0..* WinTile
+ 1 TileO contain 0..* Player
+ 1 Tile contain 0..* Connection
+ 1 Deck contain 0..* ActionCard
+ 1 Player contain 1 Color


+ Tile extends abstract Tile
+ ActionCard extends abstract ActionCard
+ RollDieActionCard extends ActionCard
+ ConnectTilesActionCard extends ActionCard
+ RemoveConnectionActionCard extends ActionCard
+ TeleportActionCard extends ActionCard
+ LoseTurnActionCard extends ActionCard
+ Color extends Color
+ TileO extends TileO
+ Game extends Game
+ Connection extends Connection
+ WinTile extends WinTile
+ Die extends Die
+ Deck extends Deck
+ Player extends Player
result_presicion = 0.16216216216216217
result_recall = 0.3
result_F1 = 0.2105263157894737
---------------------3/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Connection
+ 1 Game associate 1 Player
+ 1 Game associate 1 TileO
+ 1 Game associate 1 Color
+ 1 TileO associate 1 Game
+ 1 Connection associate 1 Tile
+ 1 Connection associate 1 Tile
+ 1 WinTile associate 1 Tile
+ 1 Deck associate 1 RollDieActionCard
+ 1 Deck associate 1 ConnectTilesActionCard
+ 1 Deck associate 1 RemoveConnectionActionCard
+ 1 Deck associate 1 TeleportActionCard
+ 1 Deck associate 1 LoseTurnActionCard
+ 1 Tile associate 1 WinTile
+ 1 Tile associate 1 Connection
+ 1 Tile associate 1 Player
+ 1 Tile associate 1 ActionTile
+ 1 Tile associate 1 NormalTile
+ 1 ActionTile associate 1 Tile
+ 1 NormalTile associate 1 Tile
+ 1 Player associate 1 Tile
+ 1 Player associate 1 Game


+ 1 Game contain 1 Deck
+ 1 Game contain 1 Die
+ 1 Game contain 1 WinTile
+ 1 Game contain 1 Connection
+ 1 Game contain 1 Player
+ 1 Game contain 1 TileO
+ 1 Connection contain 1 Tile
+ 1 Connection contain 1 Tile
+ 1 WinTile contain 1 Tile
+ 1 Deck contain 1 RollDieActionCard
+ 1 Deck contain 1 ConnectTilesActionCard
+ 1 Deck contain 1 RemoveConnectionActionCard
+ 1 Deck contain 1 TeleportActionCard
+ 1 Deck contain 1 LoseTurnActionCard
+ 1 Tile contain 1 WinTile
+ 1 Tile contain 1 Connection
+ 1 Tile contain 1 Player
+ 1 Tile contain 1 ActionTile
+ 1 Tile contain 1 NormalTile
+ 1 Player contain 1 Tile
+ 1 Player contain 1 Game


+ Tile extends ActionTile
+ ActionCard extends RollDieActionCard
+ ActionCard extends ConnectTilesActionCard
+ ActionCard extends RemoveConnectionActionCard
+ ActionCard extends TeleportActionCard
+ ActionCard extends LoseTurnActionCard
+ WinTile extends Tile
+ ActionTile extends Tile
+ NormalTile extends Tile
+ Player extends TileO
result_presicion = 0.21428571428571427
result_recall = 0.3
result_F1 = 0.25
---------------------4/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Connection
+ 1 Game associate 1 Player
+ 1 Game associate 1 TileO
+ 1 TileO associate 1 Game
+ 1 TileO associate 1 Deck
+ 1 TileO associate 1 WinTile
+ 1 TileO associate 1 Connection
+ 1 TileO associate 1 Player
+ 1 TileO associate 1 Tile
+ 1 TileO associate 1 ActionTile
+ 1 TileO associate 1 NormalTile
+ 1 TileO associate 1 RollDieActionCard
+ 1 TileO associate 1 ConnectTilesActionCard
+ 1 TileO associate 1 RemoveConnectionActionCard
+ 1 TileO associate 1 TeleportActionCard
+ 1 TileO associate 1 LoseTurnActionCard
+ 1 Connection associate 1 Tile
+ 1 Connection associate 1 Tile
+ 1 Connection associate 1 Tile
+ 1 Connection associate 1 Tile
