system,10 times,Ave_Test_Class_precision,	Ave_class_recall,	Ave_class_f1,	Ave_attribute_precision,	Ave_attribute_recall,	Ave_attribute_f1,
BTMS ,test average,0.500000,0.414286,0.452564,0.406993,0.609091,0.486459
Team Sports Scouting (TSS) ,test average,0.622599,0.418750,0.498660,0.098149,0.108333,0.101741
Smart home automation system (SHAS) ,test average,0.600758,0.317391,0.414020,0.130614,0.165385,0.145145
Tile-O ,test average,0.587701,0.257895,0.355477,0.127463,0.206250,0.156723
Block 223 ,test average,0.585877,0.376923,0.450819,0.177778,0.163333,0.167759
Online Tutoring System (OTS) ,test average,0.712326,0.364706,0.476680,0.138219,0.150000,0.140370
Hotel Booking Management System (HBMS) ,test average,0.693236,0.305263,0.417385,0.241204,0.239394,0.237486
H2S ,test average,0.230952,0.215385,0.222196,0.051156,0.094118,0.066035
Celebrations Organization System (CelO) ,test average,0.705357,0.423077,0.527387,0.121866,0.178261,0.144276
Lab Requisition Management System ,test average,0.894116,0.512500,0.648303,0.330144,0.300000,0.311454
