system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.552381,0.471429,0.505266,0.411898,0.645455,0.500756
Team Sports Scouting (TSS) ,test average,0.59805,0.425,0.495017,0.118276,0.116667,0.116081
Smart home automation system (SHAS) ,test average,0.721818,0.326087,0.44902,0.127365,0.142308,0.134325
Tile-O ,test average,0.518056,0.226316,0.314815,0.102799,0.1875,0.132662
Block 223 ,test average,0.645,0.361538,0.458978,0.207859,0.176667,0.189899
Online Tutoring System (OTS) ,test average,0.783889,0.382353,0.510214,0.124426,0.126923,0.124171
Hotel Booking Management System (HBMS) ,test average,0.714912,0.289474,0.404863,0.283309,0.233333,0.253507
H2S ,test average,0.243012,0.192308,0.213248,0.044337,0.088235,0.058276
Celebrations Organization System (CelO) ,test average,0.709524,0.446154,0.546753,0.113758,0.178261,0.136474
Lab Requisition Management System ,test average,0.967298,0.53125,0.683123,0.353085,0.334884,0.343114
