---------------------1/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 TileO
+ 1 Game associate 1 Connection
+ 1 Game associate 1 Player
+ 1 Game associate 1 Color
+ 1 Game associate 1 ActionTile
+ 1 Game associate 1 NormalTile
+ 1 Game associate 1 RollDieActionCard
+ 1 Game associate 1 ConnectTilesActionCard
+ 1 Game associate 1 RemoveConnectionActionCard
+ 1 Game associate 1 TeleportActionCard
+ 1 Game associate 1 LoseTurnActionCard


+ 1 TileO contain 0..* Tile
+ 1 TileO contain 0..* ActionCard
+ 1 Tile contain 0..* Connection
+ 1 Tile contain 0..* Player


+ Tile extends TileO
+ ActionCard extends TileO
+ RollDieActionCard extends ActionCard
+ ConnectTilesActionCard extends ActionCard
+ RemoveConnectionActionCard extends ActionCard
+ TeleportActionCard extends ActionCard
+ LoseTurnActionCard extends ActionCard
+ WinTile extends Tile
+ ActionTile extends Tile
+ NormalTile extends Tile
+ Player extends TileO
+ Mode extends TileO
+ Color extends TileO
+ Game extends TileO
+ Connection extends TileO
+ Die extends TileO
+ Deck extends TileO
result_presicion = 0.2727272727272727
result_recall = 0.3
result_F1 = 0.28571428571428564
---------------------2/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Color
+ 1 Game associate 1 Connection
+ 1 Game associate 1 TileO
+ 1 Game associate 1 Player
+ 1 TileO associate 1 Game
+ 1 TileO associate 1 Deck
+ 1 TileO associate 1 Die
+ 1 TileO associate 1 WinTile
+ 1 TileO associate 1 Color
+ 1 TileO associate 1 Connection
+ 1 TileO associate 1 Mode
+ 1 Deck associate 1 Game
+ 1 Deck associate 1 TileO
+ 1 Deck associate 1 Die
+ 1 Deck associate 1 WinTile
+ 1 Deck associate 1 Color
+ 1 Deck associate 1 Connection
+ 1 Deck associate 1 Mode
+ 1 Die associate 1 Game
+ 1 Die associate 1 TileO
+ 1 Die associate 1 Deck
+ 1 Die associate 1 WinTile
+ 1 Die associate 1 Color
+ 1 Die associate 1 Connection
+ 1 Die associate 1 Mode
+ 1 WinTile associate 1 Game
+ 1 WinTile associate 1 TileO
+ 1 WinTile associate 1 Deck
+ 1 WinTile associate 1 Die
+ 1 WinTile associate 1 Color
+ 1 WinTile associate 1 Connection
+ 1 WinTile associate 1 Mode
+ 1 Color associate 1 Game
+ 1 Color associate 1 TileO
+ 1 Color associate 1 Deck
+ 1 Color associate 1 Die
+ 1 Color associate 1 WinTile
+ 1 Color associate 1 Connection
+ 1 Color associate 1 Mode
+ 1 Connection associate 1 Game
+ 1 Connection associate 1 TileO
+ 1 Connection associate 1 Deck
+ 1 Connection associate 1 Die
+ 1 Connection associate 1 WinTile
+ 1 Connection associate 1 Color
+ 1 Connection associate 1 Mode
+ 1 Player associate 1 Game
+ 1 Player associate 1 TileO
+ 1 Player associate 1 Deck
+ 1 Player associate 1 Die
+ 1 Player associate 1 WinTile
+ 1 Player associate 1 Color
+ 1 Player associate 1 Connection
+ 1 Player associate 1 Mode


+ 1 Game contain 1 Deck
+ 1 Game contain 1 Die
+ 1 Game contain 1 WinTile
+ 1 Game contain 1 Color
+ 1 Game contain 1 Connection
+ 1 Game contain 1 TileO
+ 1 Game contain 1 Player
+ 1 TileO contain 1 Deck
+ 1 TileO contain 1 Die
+ 1 TileO contain 1 WinTile
+ 1 TileO contain 1 Color
+ 1 TileO contain 1 Connection
+ 1 TileO contain 1 Mode
+ 1 Deck contain 1 Die
+ 1 Deck contain 1 WinTile
+ 1 Deck contain 1 Color
+ 1 Deck contain 1 Connection
+ 1 Deck contain 1 Mode
+ 1 Die contain 1 WinTile
+ 1 Die contain 1 Color
+ 1 Die contain 1 Connection
+ 1 Die contain 1 Mode
+ 1 WinTile contain 1 Color
+ 1 WinTile contain 1 Connection
+ 1 WinTile contain 1 Mode
+ 1 Color contain 1 Connection
+ 1 Color contain 1 Mode
+ 1 Connection contain 1 Mode
+ 1 Player contain 1 Color


+ Tile extends ActionTile
+ ActionCard extends RollDieActionCard
+ ActionCard extends ConnectTilesActionCard
+ ActionCard extends RemoveConnectionActionCard
+ ActionCard extends TeleportActionCard
+ ActionCard extends LoseTurnActionCard
+ WinTile extends Tile
+ ActionTile extends Tile
+ NormalTile extends Tile
+ Player extends Mode
result_presicion = 0.06818181818181818
result_recall = 0.3
result_F1 = 0.11111111111111109
---------------------3/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Connection
+ 1 Game associate 1 Player
+ 1 Game associate 1 TileO
+ 1 Game associate 1 Color
+ 1 Game associate 1 ActionTile
+ 1 Game associate 1 NormalTile
+ 1 Game associate 0..* ActionCard


+ 1 Game contain 1 Deck
+ 1 Game contain 1 Die
+ 1 Game contain 1 WinTile
+ 1 Game contain 1 Connection
+ 1 Game contain 1 Player
+ 1 Game contain 1 TileO
+ 1 Game contain 1 ActionTile
+ 1 Game contain 1 NormalTile


+ Tile extends ActionTile
result_presicion = 0.3333333333333333
result_recall = 0.3
result_F1 = 0.3157894736842105
---------------------4/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Connection
+ 1 Game associate 1 TileO
+ 1 Game associate 1 Player
+ 1 Game associate 1 Color
+ 1 TileO associate 1 Game
+ 1 TileO associate 1 Deck
+ 1 TileO associate 1 Die
+ 1 TileO associate 1 WinTile
+ 1 TileO associate 1 Connection
+ 1 TileO associate 1 Mode
+ 1 TileO associate 1 Player
+ 1 TileO associate 1 Color
+ 1 Connection associate 1 Tile
+ 1 Connection associate 1 Tile
+ 1 Connection associate 1 Tile
+ 1 Connection associate 1 Tile
+ 1 Deck associate 1 RollDieActionCard
+ 1 Deck associate 1 ConnectTilesActionCard
+ 1 Deck associate 1 RemoveConnectionActionCard
