name,presicion,recall,F1
TSS,0.2812735206543256,0.1095238095238095,0.1466391644800199
CeIO,0.18886163672928377,0.19473684210526315,0.18934181288762147
BTMS,0.568095238095238,0.34444444444444444,0.42440476190476184
H2S,0.30095238095238097,0.12222222222222223,0.1717813876944312
Lab Requisition Management System,0.09630371217899822,0.08636363636363636,0.08992306572682095
Hotel Booking Management System (HBMS),0.17399997506900816,0.27999999999999997,0.2117793017193635
SHAS,0.5368414918414919,0.23703703703703702,0.32749124217673636
OTS,0.28153918449971077,0.215,0.24257278669043375
DBA,0.2997266970866356,0.3526315789473684,0.32264642992342485
TiOA,0.18541449212485958,0.285,0.21004310838578216
