name,presicion,recall,F1
TSS,0.20933566433566436,0.13529411764705884,0.1579367532767083
CeIO,0.3377677877677878,0.22941176470588237,0.27066176953273724
BTMS,0.7255844155844156,0.6444444444444443,0.6574223602484472
H2S,0.35595238095238096,0.11538461538461538,0.1663387747443475
Lab Requisition Management System,0.09865937983585042,0.075,0.08390872137077071
Hotel Booking Management System (HBMS),0.160818654570448,0.32727272727272727,0.20556677005638718
SHAS,0.5685317404029371,0.3625,0.43415562118417317
OTS,0.37306776556776555,0.29375,0.3258910185105958
DBA,0.36945527812400875,0.3368421052631579,0.34660660384676306
TiOA,0.3045777785726635,0.45833333333333337,0.32934537460999225
