---------------------1/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 Mode
+ 1 Game associate 1 Deck
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Die
+ 1 Game associate 1 Connection
+ 1 Game associate 0..* Player
+ 1 Game associate 0..* Tile
+ 1 Game associate 0..* ActionTile
+ 1 Game associate 0..* NormalTile
+ 1 Game associate 0..* RollDieActionCard
+ 1 Game associate 0..* ConnectTilesActionCard
+ 1 Game associate 0..* RemoveConnectionActionCard
+ 1 Game associate 0..* TeleportActionCard
+ 1 Game associate 0..* LoseTurnActionCard
+ 1 Tile associate 0..* Tile
+ 1 Tile associate 0..* Connection
+ 1 Tile associate 0..* ActionTile
+ 1 Tile associate 0..* NormalTile
+ 1 Deck associate 0..* RollDieActionCard
+ 1 Deck associate 0..* ConnectTilesActionCard
+ 1 Deck associate 0..* RemoveConnectionActionCard
+ 1 Deck associate 0..* TeleportActionCard
+ 1 Deck associate 0..* LoseTurnActionCard
+ 1 Player associate 0..* RollDieActionCard
+ 1 Player associate 0..* ConnectTilesActionCard
+ 1 Player associate 0..* RemoveConnectionActionCard
+ 1 Player associate 0..* TeleportActionCard
+ 1 Player associate 0..* LoseTurnActionCard


+ 1 Game contain 1 Mode
+ 1 Game contain 1 Deck
+ 1 Game contain 1 WinTile
+ 1 Game contain 1 Die
+ 1 Game contain 1 Connection
+ 1 Game contain 0..* Player
+ 1 Game contain 0..* Tile
+ 1 Game contain 0..* ActionTile
+ 1 Game contain 0..* NormalTile
+ 1 Game contain 0..* RollDieActionCard
+ 1 Game contain 0..* ConnectTilesActionCard
+ 1 Game contain 0..* RemoveConnectionActionCard
+ 1 Game contain 0..* TeleportActionCard
+ 1 Game contain 0..* LoseTurnActionCard
+ 1 Tile contain 0..* Tile
+ 1 Tile contain 0..* Connection
+ 1 Tile contain 0..* ActionTile
+ 1 Tile contain 0..* NormalTile
+ 1 Deck contain 0..* RollDieActionCard
+ 1 Deck contain 0..* ConnectTilesActionCard
+ 1 Deck contain 0..* RemoveConnectionActionCard
+ 1 Deck contain 0..* TeleportActionCard
+ 1 Deck contain 0..* LoseTurnActionCard
+ 1 Player contain 0..* RollDieActionCard
+ 1 Player contain 0..* ConnectTilesActionCard
+ 1 Player contain 0..* RemoveConnectionActionCard
+ 1 Player contain 0..* TeleportActionCard
+ 1 Player contain 0..* LoseTurnActionCard
presicion = 0.10869565217391304
recall = 0.4166666666666667
F1 = 0.1724137931034483
---------------------2/10------TiOA:
AI_answer_after_cut:
+ 1 Game associate 1 TileO
+ 1 Game associate 1 Deck
+ 1 Game associate 0..* Player
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 TileO associate 0..* Player
+ 1 TileO associate 1 Deck
+ 1 TileO associate 1 Game
+ 1 Deck associate 1 Game
+ 1 Deck associate 1 TileO
+ 1 Deck associate 1 RollDieActionCard
+ 1 Deck associate 1 ConnectTilesActionCard
+ 1 Deck associate 1 RemoveConnectionActionCard
+ 1 Deck associate 1 TeleportActionCard
+ 1 Deck associate 1 LoseTurnActionCard
+ 1 RollDieActionCard associate 1 Deck
+ 1 ConnectTilesActionCard associate 1 Deck
+ 1 RemoveConnectionActionCard associate 1 Deck
+ 1 TeleportActionCard associate 1 Deck
+ 1 LoseTurnActionCard associate 1 Deck
+ 1 Player associate 1 Game
+ 1 Player associate 0..* Tile
+ 1 Player associate 1 Color
+ 1 Player associate 1 Mode
+ 1 Tile associate 0..* Player
+ 1 Tile associate 1 Connection
+ 1 Connection associate 1 Tile
+ 1 WinTile associate 1 Game
+ 1 WinTile associate 1 Player


+ 1 Game contain 1 Deck
+ 1 Game contain 1 Die
+ 1 Game contain 1 WinTile
+ 1 TileO contain 1 Deck
+ 1 Deck contain 1 RollDieActionCard
+ 1 Deck contain 1 ConnectTilesActionCard
+ 1 Deck contain 1 RemoveConnectionActionCard
+ 1 Deck contain 1 TeleportActionCard
+ 1 Deck contain 1 LoseTurnActionCard
+ 1 Player contain 0..* Tile
presicion = 0.14705882352941177
recall = 0.4166666666666667
F1 = 0.2173913043478261
---------------------3/10------TiOA:
AI_answer_after_cut:
+ 1 TileO associate 1 Game
+ 1 TileO associate 1 Deck
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Connection
+ 1 Game associate 1 Player
+ 1 Game associate 0..* ActionTile
+ 1 Game associate 0..* NormalTile
+ 1 Game associate 0..* Player
+ 1 Game associate 0..* RollDieActionCard
+ 1 Game associate 0..* ConnectTilesActionCard
+ 1 Game associate 0..* RemoveConnectionActionCard
+ 1 Game associate 0..* TeleportActionCard
+ 1 Game associate 0..* LoseTurnActionCard
+ 1 Player associate 1 Color
+ 1 Player associate 1 Die
+ 1 Player associate 1 Game
+ 1 Player associate 0..* ActionCard
+ 1 Player associate 0..* Tile


+ 1 Game contain 1 Deck
+ 1 Game contain 1 Die
+ 1 Game contain 1 WinTile
+ 1 Game contain 1 Connection
+ 1 Game contain 0..* ActionTile
+ 1 Game contain 0..* NormalTile
+ 1 Game contain 0..* Player
+ 1 Game contain 0..* RollDieActionCard
+ 1 Game contain 0..* ConnectTilesActionCard
+ 1 Game contain 0..* RemoveConnectionActionCard
+ 1 Game contain 0..* TeleportActionCard
+ 1 Game contain 0..* LoseTurnActionCard
+ 1 Player contain 1 Color
+ 1 Player contain 1 Die
+ 1 Player contain 1 Game
+ 1 Player contain 0..* ActionCard
+ 1 Player contain 0..* Tile
presicion = 0.18181818181818182
recall = 0.5
F1 = 0.26666666666666666
---------------------4/10------TiOA:
AI_answer_after_cut:
+ 1 TileO associate 1 Game
+ 1 Game associate 1 Deck
+ 1 Game associate 1 Die
+ 1 Game associate 1 WinTile
+ 1 Game associate 1 Player
+ 1 Game associate 0..* ActionTile
+ 1 Game associate 0..* NormalTile
+ 1 Game associate 0..* Connection
+ 1 Game associate 0..* Tile
+ 1 Deck associate 0..* ActionCard
+ 1 Deck associate 0..* RollDieActionCard
+ 1 Deck associate 0..* ConnectTilesActionCard
+ 1 Deck associate 0..* RemoveConnectionActionCard
+ 1 Deck associate 0..* TeleportActionCard
+ 1 Deck associate 0..* LoseTurnActionCard
