name,presicion,recall,F1
TSS,0.23901667776667773,0.15882352941176472,0.18325555125555124
CeIO,0.28885315664727435,0.22941176470588234,0.25320878384049883
BTMS,0.6138888888888887,0.44444444444444436,0.5081989286942848
H2S,0.25261904761904763,0.10769230769230767,0.1456112734949052
Lab Requisition Management System,0.12513420487558416,0.09,0.10227660223424659
Hotel Booking Management System (HBMS),0.10405429230395033,0.29090909090909095,0.14302072743172775
SHAS,0.5674883449883448,0.2791666666666667,0.36985366095660216
OTS,0.35457667332667336,0.3625,0.3509610820534852
DBA,0.5201981351981353,0.35789473684210527,0.41773671420873076
TiOA,0.2758645384186596,0.4333333333333334,0.3200675956952254
