name,presicion,recall,F1
TSS,0.20607660455486537,0.15882352941176472,0.16356110179838995
CeIO,0.27406253833885413,0.22941176470588237,0.24630948211982692
BTMS,0.6584126984126983,0.44444444444444436,0.5092460317460318
H2S,0.3233403361344538,0.15384615384615383,0.19386554621848742
Lab Requisition Management System,0.11812992562992561,0.08499999999999999,0.09709478379650774
Hotel Booking Management System (HBMS),0.1987426365057944,0.38181818181818183,0.25301494673762553
SHAS,0.6082414369256475,0.3083333333333333,0.3919687159985238
OTS,0.34332867854539684,0.325,0.3304486617100047
DBA,0.4132753978048096,0.32105263157894737,0.352734907492972
TiOA,0.4092348801868925,0.4416666666666667,0.3915131076164202
