system,10 times,Ave_Test_Class_precision,Ave_class_recall,Ave_class_f1,Ave_attribute_precision,Ave_attribute_recall,Ave_attribute_f1
BTMS ,test average,0.451746,0.371429,0.405037,0.398099,0.572727,0.468301
Team Sports Scouting (TSS) ,test average,0.545299,0.3375,0.414256,0.1218,0.116667,0.118787
Smart home automation system (SHAS) ,test average,0.771061,0.343478,0.474938,0.143539,0.161538,0.151915
Tile-O ,test average,0.559722,0.242105,0.337444,0.087855,0.15625,0.112173
Block 223 ,test average,0.650476,0.323077,0.429016,0.176704,0.143333,0.157692
Online Tutoring System (OTS) ,test average,0.79513,0.435294,0.55909,0.166001,0.184615,0.173414
Hotel Booking Management System (HBMS) ,test average,0.800397,0.310526,0.444084,0.307114,0.263636,0.282014
H2S ,test average,0.167571,0.161538,0.164226,0.035052,0.076471,0.047945
Celebrations Organization System (CelO) ,test average,0.675595,0.446154,0.53658,0.097088,0.169565,0.123337
Lab Requisition Management System ,test average,0.9375,0.49375,0.645923,0.388812,0.339535,0.362168
