name,presicion,recall,F1
TSS,0.22436507936507938,0.17058823529411765,0.18356667937313104
CeIO,0.3112712506791454,0.2529411764705882,0.274393144665377
BTMS,0.5735714285714285,0.3555555555555555,0.4243521416663832
H2S,0.32666666666666666,0.10769230769230768,0.1537489989408148
Lab Requisition Management System,0.12145746797062587,0.09999999999999999,0.10769964415774799
Hotel Booking Management System (HBMS),0.14598086230984134,0.32727272727272727,0.19375058674621187
SHAS,0.6088445378151262,0.34166666666666673,0.4315356855193938
OTS,0.35211579270402804,0.30625,0.3238679565398142
DBA,0.47130919733860904,0.3368421052631579,0.38534665506798627
TiOA,0.20211790505675956,0.475,0.26562341146865964
