name,presicion,recall,F1
TSS,0.33126623376623376,0.1823529411764706,0.2276422259649396
CeIO,0.28109668109668107,0.18823529411764708,0.2223443223443224
BTMS,0.4838888888888889,0.3777777777777778,0.4136893515840884
H2S,0.2028529657477026,0.0846153846153846,0.10924613784907902
Lab Requisition Management System,0.11836441336441336,0.075,0.08870190730869264
Hotel Booking Management System (HBMS),0.20641262246525405,0.3090909090909091,0.2395162542660038
SHAS,0.550187108642991,0.2833333333333333,0.368081308660577
OTS,0.43818542568542573,0.26875,0.32928152897437607
DBA,0.4609873949579833,0.3947368421052631,0.4207254984324657
TiOA,0.4591344707923655,0.3916666666666667,0.39121809044209926
