system,10 times,Ave_Test_Class_precision,"	Ave_class_recall","	Ave_class_f1","	Ave_attribute_precision","	Ave_attribute_recall","	Ave_attribute_f1"
BTMS,test average,0.369177,0.328571,0.343956,0.303729,0.490909,0.371718
Team Sports Scouting (TSS),test average,0.57359,0.35,0.429786,0.120612,0.116667,0.117603
Smart home automation system (SHAS),test average,0.705074,0.326087,0.44496,0.148752,0.153846,0.150277
Tile-O,test average,0.5875,0.263158,0.362081,0.112919,0.20625,0.14572
Block 223,test average,0.57272,0.415385,0.474888,0.168061,0.156667,0.161034
Online Tutoring System (OTS),test average,0.725,0.335294,0.450235,0.153541,0.146154,0.147056
Hotel Booking Management System (HBMS),test average,0.763997,0.310526,0.433505,0.242444,0.242424,0.241183
H2S,test average,0.251053,0.215385,0.23074,0.048143,0.082353,0.059379
Celebrations Organization System (CelO),test average,0.704167,0.423077,0.527879,0.124461,0.169565,0.142632
Lab Requisition Management System,test average,0.892955,0.5375,0.669,0.32287,0.318605,0.319669
