name,presicion,recall,F1
TSS,0.30725441225441225,0.1647058823529412,0.20599411220962946
CeIO,0.29663130127526405,0.2529411764705883,0.26816789230166843
BTMS,0.7401587301587302,0.5444444444444445,0.6164795661854485
H2S,0.30484126984126986,0.12307692307692308,0.16899427713669202
Lab Requisition Management System,0.14551698301698301,0.095,0.11176686217008798
Hotel Booking Management System (HBMS),0.20978769292722782,0.30000000000000004,0.24084421536209755
SHAS,0.5860188349662033,0.3083333333333333,0.39617594747553714
OTS,0.35000249750249746,0.26875,0.3019709436116555
DBA,0.5232165117491204,0.4052631578947368,0.4479907842435651
TiOA,0.44277591706539077,0.4333333333333334,0.3833499617630052
